image_id,prob_other,prob_mel,prob_akiec,prob_nv,prob_bcc
ISIC_0027419,0.9998217,8.188597e-05,5.336075e-05,3.6152065e-05,6.860924e-06
ISIC_0025030,0.9974952,1.5024317e-05,0.000120955476,0.0019176817,0.00045122224
ISIC_0026769,0.45697093,0.00033196935,0.52837884,0.001227202,0.013091005
ISIC_0025661,0.35001647,0.13083167,0.228712,0.02401968,0.26642016
ISIC_0031633,0.00815327,0.008275211,0.056853615,0.0029405595,0.9237774
ISIC_0027850,0.13961346,0.0002780155,0.000357541,0.003210529,0.8565405
ISIC_0029176,0.017408552,0.0031730128,0.011543671,0.02360514,0.9442696
ISIC_0029068,0.00036025606,4.477458e-05,0.0005142797,0.00081842847,0.9982622
ISIC_0025837,0.42698517,0.0049701487,0.27483064,0.15349074,0.13972333
ISIC_0025209,0.99813014,4.180188e-06,0.00022751404,0.0015601488,7.803102e-05
ISIC_0025276,0.99635315,0.0001184106,1.2823879e-06,0.0014976407,0.0020294494
ISIC_0029396,0.0001535729,0.0055401856,0.00013565471,0.9940427,0.00012787127
ISIC_0025984,0.00020339302,0.00024903292,0.0001683422,0.740769,0.2586102
ISIC_0025767,0.9998708,6.5998945e-10,9.035219e-08,0.00012899541,6.885389e-08
ISIC_0032417,0.998547,4.738737e-05,1.020202e-06,0.0014031935,1.3464136e-06
ISIC_0031326,0.17085756,0.00036552513,0.6842508,0.071068764,0.07345743
ISIC_0025915,0.0073381676,0.060216803,0.06723226,0.7607886,0.10442415
ISIC_0031029,0.98943955,6.7094707e-06,0.0002787314,0.009409715,0.0008653104
ISIC_0029836,5.4114744e-06,9.5246316e-05,1.4157181e-05,0.0020226391,0.99786264
ISIC_0032129,0.99993765,1.37436555e-05,1.0072583e-06,3.822965e-05,9.466708e-06
ISIC_0032343,0.9738399,0.01032381,0.004955294,0.009132016,0.0017489375
ISIC_0025033,0.82140076,0.00094072934,0.015345961,0.14695828,0.015354217
ISIC_0027310,0.0005377933,0.81008804,0.016918313,0.17218237,0.0002734292
ISIC_0032128,0.89673066,0.102957755,1.32375535e-05,0.00029555545,2.7583312e-06
ISIC_0025937,0.9903257,4.9769063e-05,4.002231e-05,0.009502022,8.253461e-05
ISIC_0027828,0.6634633,0.26619,0.0003930239,0.06990061,5.3151314e-05
ISIC_0029291,0.9812919,7.695441e-05,1.5172786e-05,0.018535465,8.051559e-05
ISIC_0030698,1.0,1.0510694e-12,2.0582668e-12,2.3551778e-09,1.4258176e-12
ISIC_0025567,0.99337244,1.2249028e-05,2.8435767e-07,0.0066148536,2.474008e-07
ISIC_0031753,0.99974054,6.8548998e-06,1.5393047e-07,0.00025126472,1.2095037e-06
ISIC_0026835,0.1598254,5.594879e-05,6.1776234e-05,0.8390639,0.0009930622
ISIC_0031159,0.974876,0.00010167167,2.5091942e-06,0.025014784,4.973272e-06
ISIC_0031017,0.963516,0.014312702,0.00053697184,0.020276628,0.0013577254
ISIC_0024981,0.0031363836,0.97143453,0.00082335476,0.023882454,0.0007232108
ISIC_0027815,0.06283226,0.00077892403,0.00017300957,0.93448883,0.0017269908
ISIC_0024324,0.5442496,0.3731416,0.00017396545,0.08162115,0.0008137579
ISIC_0029559,0.1656145,6.817856e-05,0.0016182967,0.6512908,0.18140823
ISIC_0030661,6.3390803e-06,0.0056688464,0.00027764076,0.98571384,0.00833334
ISIC_0027053,0.03174606,0.9540369,1.3306457e-05,0.014130442,7.338443e-05
ISIC_0028560,0.34820968,0.0044485885,0.0017400691,0.22380167,0.42179996
ISIC_0031650,2.8928437e-06,0.00028648565,1.0145752e-05,0.97182256,0.027877934
ISIC_0029161,0.77897924,0.001530892,5.3489515e-05,0.21903998,0.00039631085
ISIC_0026273,0.99765897,0.00044280873,4.650606e-05,0.0017236954,0.00012795004
ISIC_0025076,0.9979196,0.0001150767,0.0005126012,0.001185533,0.00026717276
ISIC_0029687,0.65355617,9.945299e-05,0.00012377325,0.34313443,0.003086056
ISIC_0025642,0.15904783,0.0014930624,1.8342049e-05,0.8392436,0.00019718247
ISIC_0025819,0.91348535,0.002050733,1.2089709e-05,0.08444821,3.5841695e-06
ISIC_0032013,0.99524814,0.0016568676,6.972445e-05,0.0029975888,2.761541e-05
ISIC_0031691,0.05347628,0.9227323,0.00077250873,0.0027301623,0.020288788
ISIC_0025419,0.94798595,0.00034685008,0.00015680464,0.049253732,0.0022567115
ISIC_0030105,0.0007122943,0.9990043,0.0002639063,1.5053679e-05,4.467411e-06
ISIC_0025016,0.9490999,0.0002895785,0.008283044,0.037476543,0.0048509175
ISIC_0029147,0.9989868,5.3207054e-06,0.00028521733,0.00023206412,0.0004906832
ISIC_0029301,0.9566815,0.00017568764,0.00013782558,0.0014313065,0.04157363
ISIC_0026637,0.43255726,0.5633786,2.9192928e-05,0.0040296693,5.3530825e-06
ISIC_0030377,0.9389857,0.0607981,8.856356e-05,0.00012050227,7.201399e-06
ISIC_0027960,0.94675124,0.051531956,0.0012475974,0.00045480343,1.4403699e-05
ISIC_0026955,0.9606186,0.03350708,0.0007600459,0.0050788186,3.5418332e-05
ISIC_0028052,0.2087263,0.009334599,0.006777287,0.7637617,0.011400155
ISIC_0025286,0.00034859957,0.45687798,0.00065478403,0.54171234,0.00040628485
ISIC_0031468,0.802502,0.007178918,0.029975865,0.15057538,0.009767785
ISIC_0030926,0.95304847,0.022944363,0.0002634499,0.02367246,7.123348e-05
ISIC_0029288,0.99742645,0.00011709427,0.0001926014,0.0022505256,1.3291727e-05
ISIC_0031008,0.99965096,0.00022979682,6.455255e-08,0.00011909384,2.4620046e-08
ISIC_0024698,2.3002493e-05,0.0006481598,2.2771239e-07,0.99932766,9.264975e-07
ISIC_0031495,0.99877805,8.132588e-06,1.088038e-06,0.0012124637,2.5421258e-07
ISIC_0026104,0.99991596,2.4132676e-05,2.0001289e-07,5.9600578e-05,7.2983454e-08
ISIC_0025099,1.0,5.8112837e-12,3.1077197e-13,3.525369e-11,2.7816816e-12
ISIC_0031485,0.3018228,0.0010506031,0.00017140013,0.69645995,0.00049527216
ISIC_0029413,0.9992461,0.00024463638,5.6378976e-06,0.00049924746,4.466746e-06
ISIC_0029576,0.002710282,0.99067545,0.00039985814,0.0053439946,0.00087034557
ISIC_0031967,0.44680718,0.002395982,0.0029382668,0.5398428,0.008015848
ISIC_0031584,0.99189067,5.9424645e-05,1.644741e-05,0.0077985623,0.00023492864
ISIC_0025140,0.99991727,6.447939e-05,6.187781e-06,1.1850988e-05,2.4060276e-07
ISIC_0025554,0.5773748,0.055356875,0.000411979,0.358005,0.008851261
ISIC_0029289,0.000690925,0.0009195055,0.00018641342,0.9968168,0.0013863704
ISIC_0029912,0.99986136,8.422575e-05,6.188736e-07,4.8540664e-05,5.2743253e-06
ISIC_0033539,0.89923525,7.516028e-05,3.5387937e-05,0.10063992,1.423516e-05
ISIC_0032283,0.002111526,0.0039786873,0.0013757808,0.7387039,0.25383008
ISIC_0030005,0.16211425,0.83023924,0.00017496641,0.007392495,7.8992176e-05
ISIC_0030189,0.997561,0.00054664334,0.0003007103,0.0015865419,5.099084e-06
ISIC_0026532,0.96938545,0.024293566,0.00018755805,0.006105889,2.7472988e-05
ISIC_0024832,1.43784055e-05,7.779489e-06,3.3753423e-07,0.99878675,0.0011908158
ISIC_0026958,0.9999764,1.545543e-06,2.1089669e-07,2.006511e-05,1.7891208e-06
ISIC_0030768,0.991589,3.7170117e-05,4.111392e-05,0.005041684,0.0032909554
ISIC_0029837,0.8627095,0.000112755064,1.4472285e-05,0.1371548,8.410304e-06
ISIC_0031624,0.99984527,1.7992485e-05,1.5607986e-06,0.00011982842,1.5345207e-05
