,image_id,prob
0,ISIC_0034303,4.6956997e-05
1,ISIC_0033800,0.018534817
2,ISIC_0026960,0.0012823934
3,ISIC_0031871,0.9974547
4,ISIC_0030173,2.609078e-06
5,ISIC_0027933,2.4527747e-06
6,ISIC_0029375,0.00020685632
7,ISIC_0027249,1.6046327e-11
8,ISIC_0029193,0.0001923432
9,ISIC_0025589,0.9998436
10,ISIC_0032378,0.00010734853
11,ISIC_0025891,0.9999573
12,ISIC_0029974,2.8014123e-05
13,ISIC_0027022,3.232391e-10
14,ISIC_0027064,6.248323e-12
15,ISIC_0024447,0.00047215252
16,ISIC_0027106,1.221172e-13
17,ISIC_0026869,7.100303e-13
18,ISIC_0030759,0.9998109
19,ISIC_0025986,7.8744485e-08
20,ISIC_0028011,9.977634e-12
21,ISIC_0030658,1.9348613e-12
22,ISIC_0032528,1.8718468e-07
23,ISIC_0025630,5.467657e-07
24,ISIC_0032940,0.999987
25,ISIC_0028808,3.315643e-06
26,ISIC_0029029,6.167056e-11
27,ISIC_0026075,1.2568137e-07
28,ISIC_0028031,0.00016767911
29,ISIC_0032297,3.6087704e-06
30,ISIC_0028920,0.8204076
31,ISIC_0028985,6.563993e-08
0,ISIC_0024602,0.6943694
1,ISIC_0031724,3.757288e-20
2,ISIC_0028102,3.5630248e-06
3,ISIC_0033747,3.3060516e-12
4,ISIC_0031574,1.0156573e-10
5,ISIC_0024399,2.2907284e-13
6,ISIC_0032168,0.0002020071
7,ISIC_0034072,5.354116e-12
8,ISIC_0032005,1.0291548e-06
9,ISIC_0034191,4.677063e-09
10,ISIC_0030045,2.3175451e-07
11,ISIC_0024411,8.8586634e-16
12,ISIC_0030822,1.2648125e-06
13,ISIC_0033662,2.6285196e-08
14,ISIC_0025320,1.2398303e-07
15,ISIC_0028643,6.254303e-07
16,ISIC_0032921,0.99985266
17,ISIC_0025242,0.00012307682
18,ISIC_0025609,1.6449334e-07
19,ISIC_0031162,0.00013632994
20,ISIC_0027986,8.791632e-17
21,ISIC_0030088,3.7890484e-08
22,ISIC_0030542,1.6134821e-06
23,ISIC_0029705,0.25832862
24,ISIC_0026513,0.983518
25,ISIC_0030412,9.544211e-13
26,ISIC_0029121,0.16600026
27,ISIC_0025640,8.9558604e-08
28,ISIC_0033726,0.0003896499
29,ISIC_0032954,2.8728093e-05
30,ISIC_0028941,7.3232763e-07
31,ISIC_0028614,3.001769e-14
0,ISIC_0026898,1.4238674e-05
1,ISIC_0025690,0.9897702
2,ISIC_0027751,2.7908794e-05
3,ISIC_0027344,0.001017393
4,ISIC_0028378,4.1745725e-08
5,ISIC_0030198,4.3797448e-07
6,ISIC_0027707,3.7399095e-05
7,ISIC_0033635,1.23068805e-14
8,ISIC_0024785,7.4323023e-09
9,ISIC_0029228,8.7161524e-08
10,ISIC_0029779,0.0015531029
11,ISIC_0026164,4.6771172e-05
12,ISIC_0028015,3.1157844e-05
13,ISIC_0027293,5.610786e-05
14,ISIC_0029858,1.2924677e-08
15,ISIC_0025704,3.3884169e-09
16,ISIC_0031999,0.99990714
17,ISIC_0028391,3.038715e-08
18,ISIC_0031396,6.566864e-11
19,ISIC_0032142,7.844542e-08
20,ISIC_0031335,4.703624e-13
21,ISIC_0032037,1.5832993e-15
22,ISIC_0029968,9.5428465e-09
23,ISIC_0026194,1.4126093e-10
24,ISIC_0030419,1.4428349e-06
25,ISIC_0028529,1.2122762e-06
26,ISIC_0029297,2.6015399e-09
27,ISIC_0026919,3.432305e-12
28,ISIC_0027098,0.00029116985
29,ISIC_0029669,7.8014137e-17
30,ISIC_0032887,8.225381e-06
31,ISIC_0028357,1.2199259e-05
0,ISIC_0033821,6.938322e-05
1,ISIC_0030716,5.7495163e-06
2,ISIC_0024900,0.99959093
3,ISIC_0033756,2.4713471e-09
4,ISIC_0025854,4.765625e-10
5,ISIC_0030154,8.317364e-11
6,ISIC_0033052,0.53724784
7,ISIC_0030110,0.9999974
8,ISIC_0027274,5.238629e-07
9,ISIC_0025266,4.4447802e-07
10,ISIC_0028659,1.36992515e-08
11,ISIC_0034027,3.7674477e-06
12,ISIC_0025140,1.9616766e-07
13,ISIC_0033481,4.9518285e-06
14,ISIC_0027871,7.3995294e-09
15,ISIC_0025519,2.8147864e-13
16,ISIC_0031256,7.808784e-13
17,ISIC_0024896,9.271554e-16
18,ISIC_0032493,1.1714245e-11
19,ISIC_0033621,1.8123576e-09
20,ISIC_0027397,9.145167e-09
21,ISIC_0029920,8.991453e-10
22,ISIC_0029036,5.2416528e-08
23,ISIC_0025939,1.5683418e-13
24,ISIC_0025976,5.03994e-07
25,ISIC_0027987,0.015555532
26,ISIC_0025743,7.7546906e-11
27,ISIC_0026025,1.1160469e-07
28,ISIC_0034207,2.2273468e-09
29,ISIC_0027730,2.3873477e-07
30,ISIC_0027678,0.21957421
31,ISIC_0030937,0.004005489
0,ISIC_0028145,0.083457224
1,ISIC_0027786,7.499075e-08
2,ISIC_0025516,5.9159515e-08
3,ISIC_0031758,1.982522e-06
4,ISIC_0028896,0.00018400095
5,ISIC_0027857,1.1149782e-05
6,ISIC_0024639,5.8885956e-07
7,ISIC_0026311,0.00041905485
8,ISIC_0030623,0.012038475
9,ISIC_0030393,7.256728e-09
10,ISIC_0031534,1.2349e-13
11,ISIC_0029946,4.908839e-08
