image_id,prob_other,prob_mel,prob_akiec,prob_nv,prob_bcc
ISIC_0027419,0.1904994,0.589043,0.07030692,0.1277273,0.022423413
ISIC_0025030,0.32524407,0.11682628,0.034225788,0.43818098,0.08552285
ISIC_0026769,0.02594571,0.01053975,0.29904115,0.045798145,0.61867535
ISIC_0025661,0.039586347,0.041372847,0.25141096,0.02762874,0.6400011
ISIC_0031633,0.110923134,0.40210274,0.2150373,0.0597751,0.21216175
ISIC_0027850,0.11869236,0.14396738,0.11358714,0.16468579,0.45906737
ISIC_0029176,0.015598304,0.0039713304,0.028649302,0.02753141,0.92424965
ISIC_0029068,0.04135138,0.0028279843,0.025426265,0.13195717,0.7984372
ISIC_0025837,0.6978608,0.03094747,0.091746055,0.14479281,0.03465288
ISIC_0025209,0.22845079,0.22915183,0.505263,0.020986611,0.016147789
ISIC_0025276,0.15707709,0.10357147,0.0017780873,0.7089157,0.028657716
ISIC_0029396,0.045510076,0.15127043,0.007370657,0.78999555,0.005853305
ISIC_0025984,0.0075517395,0.042493004,0.004509244,0.9219577,0.023488268
ISIC_0025767,0.71282125,0.0067689186,0.0009500875,0.27268538,0.006774378
ISIC_0032417,0.92530584,0.03214426,0.00020219326,0.041720137,0.00062761497
ISIC_0031326,0.17715628,0.011385812,0.39521596,0.055939153,0.36030284
ISIC_0025915,0.17553401,0.09544401,0.09911967,0.27708334,0.3528189
ISIC_0031029,0.0027113697,0.02395929,0.00014257383,0.9731653,2.1482527e-05
ISIC_0029836,0.19706608,0.36637497,0.040715143,0.24482816,0.15101562
ISIC_0032129,0.051467367,0.7738858,0.0930294,0.03444765,0.047169704
ISIC_0032343,0.28925413,0.38654223,0.10371759,0.12997662,0.0905094
ISIC_0025033,0.13068455,0.0065592662,0.0172944,0.61172247,0.23373926
ISIC_0027310,0.5980246,0.15398686,0.08283185,0.15546595,0.009690719
ISIC_0032128,0.3946178,0.5487685,0.0028483446,0.051173877,0.0025914968
